id,term,description,link,version
,CC0 1.0,kein Copyright wenn möglich (Public domain) („no Copyright“),https://creativecommons.org/publicdomain/zero/1.0/,1.0
,CC BY 4.0,Namensnennung 4.0,https://creativecommons.org/licenses/by/4.0/,4.0
,CC BY 3.0,Namensnennung 3.0,https://creativecommons.org/licenses/by/3.0/,3.0
,CC BY 3.0 DE,Namensnennung 3.0 – Deutschland,https://creativecommons.org/licenses/by/3.0/de/,3.0
,CC BY 3.0 AT,Namensnennung 3.0 – Österreich,https://creativecommons.org/licenses/by/3.0/at/,3.0
,CC BY 3.0 CH,Namensnennung 3.0 – Schweiz,https://creativecommons.org/licenses/by/3.0/ch/,3.0
,CC BY 2.5,Namensnennung 2.5,https://creativecommons.org/licenses/by/2.5/,2.5
,CC BY 2.0,Namensnennung 2.0,https://creativecommons.org/licenses/by/2.0/,2.0
,CC BY 2.0 DE,Namensnennung 2.0 – Deutschland,https://creativecommons.org/licenses/by/2.0/de/,2.0
,CC BY 2.0 AT,Namensnennung 2.0 – Österreich,https://creativecommons.org/licenses/by/2.0/at/,2.0
,CC BY 2.0 CH,Namensnennung 2.0 – Schweiz,https://creativecommons.org/licenses/by/2.0/ch/,2.0
,CC BY 1.0,Namensnennung 1.0,https://creativecommons.org/licenses/by/1.0/,1.0
,CC BY-SA 4.0,'Namensnennung, Weitergabe unter gleichen Bedingungen 4.0',https://creativecommons.org/licenses/by-sa/4.0/,4.0
,CC BY-SA 3.0,'Namensnennung, Weitergabe unter gleichen Bedingungen 3.0',https://creativecommons.org/licenses/by-sa/3.0/,3.0
,CC BY-SA 3.0 DE,'Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 – Deutschland',https://creativecommons.org/licenses/by-sa/3.0/de/,3.0
,CC BY-SA 3.0 AT,'Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 – Österreich',https://creativecommons.org/licenses/by-sa/3.0/at/,3.0
,CC BY-SA 3.0 CH,'Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 – Schweiz',https://creativecommons.org/licenses/by-sa/3.0/ch/,3.0
,CC BY-SA 2.5,'Namensnennung, Weitergabe unter gleichen Bedingungen 2.5',https://creativecommons.org/licenses/by-sa/2.5/,2.5
,CC BY-SA 2.0,'Namensnennung, Weitergabe unter gleichen Bedingungen 2.0',https://creativecommons.org/licenses/by-sa/2.0/,2.0
,CC BY-SA 2.0 DE,'Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 – Deutschland',https://creativecommons.org/licenses/by-sa/2.0/de/,2.0
,CC BY-SA 2.0 AT,'Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 – Österreich',https://creativecommons.org/licenses/by-sa/2.0/at/,2.0
,CC BY-SA 2.0 CH,'Namensnennung, Weitergabe unter gleichen Bedingungen 2.0 – Schweiz',https://creativecommons.org/licenses/by-sa/2.0/ch/,2.0
,CC BY-SA 1.0,'Namensnennung, Weitergabe unter gleichen Bedingungen 1.0',https://creativecommons.org/licenses/by-sa/1.0/,1.0
,GNU FDL 1.3,GNU-Lizenz für freie Dokumentation 1.3,https://www.gnu.org/licenses/fdl-1.3.html,1.3
,GNU FDL 1.2,GNU-Lizenz für freie Dokumentation 1.2,https://www.gnu.org/licenses/fdl-1.3.html,1.2
,GNU FDL 1.1,GNU-Lizenz für freie Dokumentation 1.1,https://www.gnu.org/licenses/old-licenses/fdl-1.1.html,1.1
,LAL 1.3,Lizenz Freie Kunst 1.3 (LAL/FAL),http://artlibre.org/licence/lal/de1-3/,1.3
,LAL 1.1,Lizenz Freie Kunst 1.1 (LAL/FAL),http://artlibre.org/licence/lal/de/,1.1
